month,region,state,product,product_family,channel,dealer_cohort,units_mt,net_revenue_lakh,gross_margin_pct,discount_pct
2024-06-01,North,Haryana,BioGro,Bio-stimulant,Co-op,Stable core,669,9.37,17.9,3.5
2024-06-01,North,Punjab,BioGro,Bio-stimulant,Agri clinic,New growth cohort,745,10.43,17,4.5
2024-06-01,North,Uttar Pradesh,CropShield,Core fertiliser,Retailer,Stable core,888,14.09,18.4,4.7
2024-06-01,North,Punjab,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,815,12.59,17.6,6
2024-06-01,North,Haryana,CropShield,Core fertiliser,Co-op,New growth cohort,698,10.78,16.7,4.9
2024-06-01,North,Uttar Pradesh,CropShield,Core fertiliser,Agri clinic,New growth cohort,820,12.67,18.3,3.5
2024-06-01,North,Haryana,Specialty Zinc,Core fertiliser,Retailer,Stable core,702,12.16,18.9,4.3
2024-06-01,North,Haryana,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,749,12.66,17.9,6.6
2024-06-01,North,Haryana,Specialty Zinc,Core fertiliser,Co-op,Stable core,837,14.15,16.1,3.3
2024-06-01,North,Haryana,Specialty Zinc,Core fertiliser,Agri clinic,New growth cohort,705,11.91,17.6,3.1
2024-06-01,East,Bihar,Urea,Core fertiliser,Retailer,Stable core,423,3.65,14.6,3.6
2024-06-01,East,West Bengal,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,416,3.41,16.4,5.5
2024-06-01,East,Bihar,Urea,Core fertiliser,Co-op,Stable core,520,4.26,16.6,4.9
2024-06-01,East,West Bengal,Urea,Core fertiliser,Agri clinic,Stable core,516,4.23,15.1,4.2
2024-06-01,East,West Bengal,DAP,Core fertiliser,Retailer,New growth cohort,500,5.04,16.5,5
2024-06-01,East,West Bengal,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,483,4.66,16,6.3
2024-06-01,East,Bihar,DAP,Core fertiliser,Co-op,New growth cohort,563,5.43,16.4,4.4
2024-06-01,East,Odisha,DAP,Core fertiliser,Agri clinic,Stable core,559,5.39,15.8,4.3
2024-06-01,East,Bihar,NPK 20-20,Complex fertiliser,Retailer,Stable core,633,7.29,15.9,5
2024-06-01,East,Odisha,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,487,5.41,13.9,6.4
2024-06-01,East,West Bengal,NPK 20-20,Complex fertiliser,Co-op,Stable core,630,6.99,15.2,4.5
2024-06-01,East,Bihar,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,607,6.74,15.3,3.7
2024-06-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,666,8.64,15.1,3.8
2024-06-01,East,West Bengal,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,528,6.63,16.7,6
2024-06-01,East,West Bengal,NPK 12-32-16,Complex fertiliser,Co-op,New growth cohort,682,8.56,14.8,4.9
2024-06-01,East,West Bengal,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,702,8.81,16.4,3.3
2024-06-01,East,Odisha,BioGro,Bio-stimulant,Retailer,Stable core,706,10.18,14.4,3.6
2024-06-01,East,Bihar,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,818,11.45,15.5,6.1
2024-06-01,East,West Bengal,BioGro,Bio-stimulant,Co-op,Stable core,779,10.91,14.3,3.9
2024-06-01,East,Odisha,BioGro,Bio-stimulant,Agri clinic,Stable core,836,11.7,15.4,3.8
2024-06-01,East,Bihar,CropShield,Core fertiliser,Retailer,New growth cohort,879,13.95,15.8,4.1
2024-06-01,East,West Bengal,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,736,11.37,16.9,6.9
2024-06-01,East,Odisha,CropShield,Core fertiliser,Co-op,Stable core,842,13.01,16.1,4.9
2024-06-01,East,Odisha,CropShield,Core fertiliser,Agri clinic,New growth cohort,906,14,14.7,4.1
2024-06-01,East,West Bengal,Specialty Zinc,Core fertiliser,Retailer,Stable core,924,16,16.4,3.7
2024-06-01,East,Bihar,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,865,14.62,14.4,6.6
2024-06-01,East,Odisha,Specialty Zinc,Core fertiliser,Co-op,Stable core,732,12.37,14.2,4.8
2024-06-01,East,West Bengal,Specialty Zinc,Core fertiliser,Agri clinic,New growth cohort,810,13.69,14.6,3.7
2024-06-01,West,Gujarat,Urea,Core fertiliser,Retailer,Stable core,628,5.41,15.9,5.1
2024-06-01,West,Gujarat,Urea,Core fertiliser,Distributor,Stable core,722,5.92,16.6,4.6
2024-06-01,West,Gujarat,Urea,Core fertiliser,Co-op,Stable core,649,5.32,16.1,4.7
2024-06-01,West,Rajasthan,Urea,Core fertiliser,Agri clinic,Stable core,706,5.79,18.4,3.7
2024-06-01,West,Maharashtra,DAP,Core fertiliser,Retailer,Stable core,676,6.81,17.2,4.3
2024-06-01,West,Gujarat,DAP,Core fertiliser,Distributor,Stable core,842,8.13,17,3.9
2024-06-01,West,Gujarat,DAP,Core fertiliser,Co-op,New growth cohort,882,8.51,18.9,3.7
2024-06-01,West,Gujarat,DAP,Core fertiliser,Agri clinic,Stable core,806,7.78,16.6,3.6
2024-06-01,West,Gujarat,NPK 20-20,Complex fertiliser,Retailer,Stable core,806,9.29,16.1,3.7
2024-06-01,West,Gujarat,NPK 20-20,Complex fertiliser,Distributor,New growth cohort,903,10.02,18.3,3.9
2024-06-01,West,Gujarat,NPK 20-20,Complex fertiliser,Co-op,Stable core,878,9.75,16.3,4.8
2024-06-01,West,Maharashtra,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,751,8.34,17.7,4.2
2024-06-01,West,Gujarat,NPK 12-32-16,Complex fertiliser,Retailer,New growth cohort,851,11.04,18.5,4.1
2024-06-01,West,Maharashtra,NPK 12-32-16,Complex fertiliser,Distributor,Stable core,1007,12.64,17.7,3.5
2024-06-01,West,Rajasthan,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,776,9.74,18.8,3.3
2024-06-01,West,Gujarat,NPK 12-32-16,Complex fertiliser,Agri clinic,New growth cohort,943,11.83,16.4,3.7
2024-06-01,West,Maharashtra,BioGro,Bio-stimulant,Retailer,Stable core,1211,17.46,17.1,3.7
2024-06-01,West,Gujarat,BioGro,Bio-stimulant,Distributor,Stable core,1118,15.65,17.9,3.7
2024-06-01,West,Rajasthan,BioGro,Bio-stimulant,Co-op,Stable core,1204,16.86,16.7,3.7
2024-06-01,West,Rajasthan,BioGro,Bio-stimulant,Agri clinic,New growth cohort,1188,16.63,17.8,3.8
2024-06-01,West,Rajasthan,CropShield,Core fertiliser,Retailer,Stable core,1055,16.74,18.5,4.6
2024-06-01,West,Rajasthan,CropShield,Core fertiliser,Distributor,Stable core,1268,19.59,16.8,5
2024-06-01,West,Maharashtra,CropShield,Core fertiliser,Co-op,New growth cohort,1149,17.75,18.7,3.9
2024-06-01,West,Rajasthan,CropShield,Core fertiliser,Agri clinic,Stable core,1094,16.9,18.8,4.2
2024-06-01,West,Gujarat,Specialty Zinc,Core fertiliser,Retailer,Stable core,1043,18.06,19.1,4.6
2024-06-01,West,Rajasthan,Specialty Zinc,Core fertiliser,Distributor,New growth cohort,1111,18.78,19,3.7
2024-06-01,West,Rajasthan,Specialty Zinc,Core fertiliser,Co-op,Stable core,1278,21.6,18.9,4.3
2024-06-01,West,Rajasthan,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,1279,21.62,17.9,3.9
2024-06-01,South,Karnataka,Urea,Core fertiliser,Retailer,Stable core,725,6.25,17.6,4.5
2024-06-01,South,Telangana,Urea,Core fertiliser,Distributor,New growth cohort,652,5.35,17.8,3.2
2024-06-01,South,Andhra Pradesh,Urea,Core fertiliser,Co-op,Stable core,676,5.54,17.5,3.3
2024-06-01,South,Andhra Pradesh,Urea,Core fertiliser,Agri clinic,New growth cohort,726,5.95,16.7,3.8
2024-06-01,South,Andhra Pradesh,DAP,Core fertiliser,Retailer,New growth cohort,750,7.55,18.7,3.4
2024-06-01,South,Andhra Pradesh,DAP,Core fertiliser,Distributor,New growth cohort,734,7.08,18,4.5
2024-06-01,South,Telangana,DAP,Core fertiliser,Co-op,New growth cohort,856,8.26,16.2,4.8
2024-06-01,South,Karnataka,DAP,Core fertiliser,Agri clinic,Stable core,869,8.39,16.8,3.8
2024-06-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Retailer,Stable core,727,8.38,17.3,4.6
2024-06-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Distributor,New growth cohort,753,8.36,18.6,5
2024-06-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Co-op,Stable core,933,10.36,18.8,3.5
2024-06-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,741,8.23,16.2,3.7
2024-06-01,South,Telangana,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,843,10.93,18.8,4.7
2024-06-01,South,Karnataka,NPK 12-32-16,Complex fertiliser,Distributor,Stable core,794,9.96,16.9,4.8
2024-06-01,South,Andhra Pradesh,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,911,11.43,17.6,4.7
2024-06-01,South,Andhra Pradesh,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,958,12.02,17.1,4
2024-06-01,South,Telangana,BioGro,Bio-stimulant,Retailer,Stable core,1242,17.91,19.2,3.7
2024-06-01,South,Telangana,BioGro,Bio-stimulant,Distributor,Stable core,1160,16.24,17,3.5
2024-06-01,South,Karnataka,BioGro,Bio-stimulant,Co-op,New growth cohort,1227,17.18,17.8,3.4
2024-06-01,South,Andhra Pradesh,BioGro,Bio-stimulant,Agri clinic,Stable core,1051,14.71,16.9,4.1
2024-06-01,South,Andhra Pradesh,CropShield,Core fertiliser,Retailer,New growth cohort,1062,16.85,18.3,3.2
2024-06-01,South,Andhra Pradesh,CropShield,Core fertiliser,Distributor,Stable core,1140,17.61,16.8,3.7
2024-06-01,South,Telangana,CropShield,Core fertiliser,Co-op,New growth cohort,1173,18.12,17.3,4.3
